student_id,semester,course_code,course_name,credit,marks,letter_grade,grade_point
12345,1,qwe,qwe,3,77.0,B,3.25
12345,2,qwe,qwe,3,88.0,A,3.75
12345,2,qwe,qwe,3,66.0,C,2.75
11111,1,qwe,qwe,3,88.0,A,3.75
11111,1,ewq,ewq,3,87.0,A,3.75
11111,1,wer,wer,3,91.0,A+,4.0
11111,2,asd,asd,3,78.0,B,3.25
11111,2,dsa,dsa,1,87.0,A,3.75
11111,3,tre,tre,3,92.0,A+,4.0
12333,1,ipe101,blaa,3,66.0,C,2.75
12333,1,ipe102,blaa,3,77.0,B,3.25
12333,2,ipe201,blaaaa,3,8.0,F,0.0
12312,1,asd,asd,3,88.0,A,3.75
12312,1,asd,asd,3,99.0,A+,4.0
12312,1,qwe,qwe,3,66.0,C,2.75
12312,2,zxc,zxc,3,78.0,B,3.25
12312,2,cxz,cxz,3,86.0,A,3.75
12312,1,asd,asd,3,88.0,A,3.75
12312,1,asdasd,asdasd,3,88.0,A,3.75
12312,2,asd,asd,3,86.0,A,3.75
12312,2,asdasd,asdasd,3,87.0,A,3.75
12312,2,asdasdasd,asdasdasd,3,89.0,A,3.75
